Episode_Return,Episode_Return_smooth,env_step
18.4,18.4,19
37.0,27.7,58
18.6,24.666666666666664,67
15.2,22.3,86
16.4,21.12,97
14.4,20.0,108
18.0,19.714285714285715,123
31.4,21.175,144
21.4,21.2,168
18.2,20.9,187
25.8,21.639999999999997,210
18.4,19.779999999999998,227
18.0,19.72,242
30.2,21.22,277
18.8,21.459999999999997,298
18.4,21.86,318
23.6,22.419999999999998,347
23.2,21.6,369
35.2,22.979999999999997,427
30.2,24.18,468
20.6,23.659999999999997,494
13.6,23.18,508
14.8,22.860000000000003,524
16.4,21.48,541
34.6,23.059999999999995,576
19.2,23.140000000000004,599
16.4,22.42,616
15.0,21.599999999999998,628
19.4,20.02,643
26.6,19.66,653
15.0,19.1,665
22.4,19.98,687
22.2,20.72,717
21.4,21.22,741
19.4,19.7,755
22.6,20.040000000000003,780
14.6,19.86,790
18.2,20.18,811
16.0,19.84,821
23.4,19.52,829
15.4,19.560000000000002,840
23.2,19.64,853
21.2,19.54,871
23.4,19.740000000000002,898
17.8,19.580000000000002,913
25.4,19.860000000000003,935
16.2,20.02,957
21.8,20.38,985
11.2,19.9,994
21.8,19.740000000000002,1016
27.2,20.919999999999998,1040
19.2,20.520000000000003,1067
19.4,20.340000000000003,1087
13.6,19.360000000000003,1100
14.0,18.98,1116
22.0,18.64,1145
11.6,18.18,1158
20.8,18.080000000000002,1180
15.6,18.52,1193
24.0,18.740000000000002,1216
31.4,19.16,1273
16.8,18.92,1293
16.0,18.580000000000002,1306
15.6,18.78,1318
16.8,19.059999999999995,1330
16.2,18.48,1356
20.8,19.4,1375
11.6,18.48,1384
25.6,19.48,1397
19.2,19.0,1424
14.6,17.32,1435
20.6,17.7,1451
14.6,17.560000000000002,1468
12.8,17.28,1478
13.0,16.9,1490
11.2,16.4,1500
14.6,15.779999999999998,1514
16.8,16.3,1528
19.2,15.66,1554
14.2,15.160000000000002,1567
17.2,15.420000000000002,1577
19.0,15.260000000000002,1593
23.0,16.1,1611
14.6,16.28,1622
17.6,16.740000000000002,1639
13.8,17.0,1651
12.4,16.78,1663
15.2,16.619999999999997,1680
12.0,15.9,1692
17.4,16.22,1711
13.4,15.84,1721
19.8,15.919999999999998,1736
20.6,15.680000000000001,1768
14.8,15.7,1779
12.0,15.139999999999997,1792
22.4,16.0,1808
18.4,16.6,1825
16.8,16.759999999999998,1849
21.2,17.68,1879
11.2,17.060000000000002,1889
18.0,17.52,1917
17.2,17.26,1934
16.6,16.860000000000003,1954
19.6,17.34,1977
22.6,18.4,2014
12.4,17.4,2027
15.8,17.14,2048
15.6,17.020000000000003,2065
15.4,16.44,2077
13.6,16.68,2088
27.8,17.66,2134
12.2,17.160000000000004,2146
19.4,17.44,2167
21.0,17.580000000000005,2198
15.0,16.82,2210
19.4,17.520000000000003,2234
11.2,17.06,2243
10.8,16.58,2252
11.8,16.22,2262
15.8,16.44,2280
12.0,14.86,2290
15.0,15.14,2309
16.6,14.86,2320
12.0,13.959999999999999,2330
11.6,13.620000000000001,2340
14.0,13.080000000000002,2356
15.6,13.52,2367
17.2,14.16,2382
12.0,14.180000000000001,2393
11.0,13.7,2401
18.0,14.3,2415
11.8,13.979999999999999,2428
11.4,13.459999999999999,2438
13.0,13.559999999999999,2449
15.2,13.920000000000002,2467
12.0,13.720000000000002,2481
11.6,13.319999999999999,2492
13.0,12.9,2506
11.0,12.8,2515
15.4,13.24,2533
11.4,12.580000000000002,2543
20.8,13.479999999999999,2565
10.4,13.379999999999999,2576
15.0,13.580000000000002,2591
13.0,13.36,2607
11.8,13.34,2620
10.6,13.24,2630
17.4,13.680000000000001,2652
12.4,13.819999999999999,2667
12.2,13.5,2679
14.2,13.779999999999998,2691
14.6,13.16,2709
12.8,13.4,2720
13.8,13.280000000000001,2731
13.4,13.319999999999999,2745
12.0,13.34,2755
16.4,13.919999999999998,2769
13.2,13.5,2780
12.8,13.540000000000001,2796
13.8,13.7,2812
10.6,13.34,2823
10.8,12.959999999999999,2836
11.6,12.84,2847
10.6,12.52,2858
15.8,12.76,2880
10.2,12.58,2891
10.8,12.02,2899
14.0,12.1,2918
11.2,11.940000000000001,2929
13.2,11.88,2941
13.0,12.120000000000001,2957
11.6,12.200000000000001,2968
11.0,12.14,2978
12.4,12.32,2992
16.8,12.420000000000002,3017
10.0,12.4,3027
11.2,12.440000000000001,3040
11.2,12.16,3052
16.2,12.66,3076
16.2,12.959999999999999,3098
10.8,12.739999999999998,3106
10.0,12.579999999999998,3116
15.2,13.0,3129
11.8,12.940000000000001,3143
13.8,12.64,3156
11.2,12.76,3167
10.8,12.719999999999999,3178
11.0,12.7,3187
14.0,12.48,3198
10.2,11.879999999999999,3209
11.6,11.959999999999999,3220
11.6,12.12,3229
13.6,11.959999999999999,3242
11.8,11.959999999999999,3251
11.6,11.739999999999998,3261
14.2,12.040000000000001,3278
10.4,12.0,3288
15.4,12.44,3311
10.4,12.08,3320
13.6,12.420000000000002,3335
10.0,12.26,3345
12.4,12.34,3361
10.6,12.040000000000001,3371
12.2,12.080000000000002,3382
10.4,11.96,3392
12.8,11.819999999999999,3403
14.8,12.260000000000002,3421
10.8,11.8,3431
11.8,11.94,3444
10.4,11.620000000000001,3455
11.4,11.760000000000002,3468
11.6,11.68,3477
11.6,11.780000000000001,3487
10.6,11.62,3496
10.8,11.66,3505
12.4,11.620000000000001,3517
10.2,11.16,3526
13.0,11.38,3538
11.0,11.3,3548
11.8,11.440000000000001,3561
13.4,11.64,3578
9.8,11.459999999999999,3588
12.4,11.540000000000001,3602
11.0,11.58,3611
12.4,11.739999999999998,3625
12.4,11.739999999999998,3640
11.0,11.82,3651
10.6,11.58,3661
10.0,11.48,3670
13.6,11.66,3679
12.6,11.58,3694
11.2,11.720000000000002,3704
12.8,11.76,3717
13.4,12.0,3732
10.4,11.8,3741
11.6,11.720000000000002,3751
11.0,11.719999999999999,3764
11.4,11.8,3777
10.4,11.84,3787
12.4,11.719999999999999,3802
12.2,11.68,3815
9.8,11.540000000000001,3825
14.0,11.66,3843
11.6,11.48,3856
12.4,11.679999999999998,3868
10.0,11.520000000000001,3878
11.8,11.6,3891
10.6,11.52,3901
11.4,11.620000000000001,3912
12.4,11.62,3923
12.8,11.68,3940
12.0,11.9,3950
