Episode_Return,env_step,Episode_Return_smooth
25.0,25,25.0
26.0,51,25.5
11.0,62,20.666666666666668
13.0,75,18.75
11.0,86,17.2
28.0,114,19.0
12.0,126,18.0
41.0,167,20.875
21.0,188,20.88888888888889
17.0,205,20.5
13.0,218,19.3
16.0,234,18.3
37.0,271,20.9
18.0,289,21.4
15.0,304,21.8
14.0,318,20.4
17.0,335,20.9
23.0,358,19.1
10.0,368,18.0
38.0,406,20.1
17.0,423,20.5
12.0,435,20.1
14.0,449,17.8
18.0,467,17.8
35.0,502,19.8
16.0,518,20.0
19.0,537,20.2
18.0,555,19.7
39.0,594,22.6
60.0,654,24.8
16.0,670,24.7
15.0,685,25.0
23.0,708,25.9
11.0,719,25.2
29.0,748,24.6
17.0,765,24.7
24.0,789,25.2
11.0,800,24.5
14.0,814,22.0
34.0,848,19.4
12.0,860,19.0
55.0,915,23.0
34.0,949,24.1
20.0,969,25.0
23.0,992,24.4
29.0,1021,25.6
12.0,1033,24.4
10.0,1043,24.3
11.0,1054,24.0
14.0,1068,22.0
15.0,1083,22.3
13.0,1096,18.1
31.0,1127,17.8
15.0,1142,17.3
11.0,1153,16.1
13.0,1166,14.5
8.0,1174,14.1
9.0,1183,14.0
10.0,1193,13.9
28.0,1221,15.3
14.0,1235,15.2
23.0,1258,16.2
24.0,1282,15.5
21.0,1303,16.1
33.0,1336,18.3
10.0,1346,18.0
18.0,1364,19.0
20.0,1384,20.1
56.0,1440,24.7
13.0,1453,23.2
22.0,1475,24.0
20.0,1495,23.7
13.0,1508,22.6
14.0,1522,21.9
11.0,1533,19.7
15.0,1548,20.2
15.0,1563,19.9
19.0,1582,19.8
13.0,1595,15.5
9.0,1604,15.1
14.0,1618,14.3
23.0,1641,14.6
18.0,1659,15.1
19.0,1678,15.6
26.0,1704,17.1
11.0,1715,16.7
15.0,1730,16.7
19.0,1749,16.7
17.0,1766,17.1
13.0,1779,17.5
18.0,1797,17.9
25.0,1822,18.1
17.0,1839,18.0
10.0,1849,17.1
10.0,1859,15.5
22.0,1881,16.6
20.0,1901,17.1
15.0,1916,16.7
9.0,1925,15.9
12.0,1937,15.8
9.0,1946,14.9
15.0,1961,13.9
9.0,1970,13.1
19.0,1989,14.0
11.0,2000,14.1
15.0,2015,13.4
14.0,2029,12.8
18.0,2047,13.1
22.0,2069,14.4
16.0,2085,14.8
10.0,2095,14.9
17.0,2112,15.1
14.0,2126,15.6
15.0,2141,15.2
18.0,2159,15.9
24.0,2183,16.8
17.0,2200,17.1
11.0,2211,16.4
13.0,2224,15.5
15.0,2239,15.4
10.0,2249,15.4
13.0,2262,15.0
9.0,2271,14.5
9.0,2280,13.9
10.0,2290,13.1
11.0,2301,11.8
29.0,2330,13.0
17.0,2347,13.6
11.0,2358,13.4
10.0,2368,12.9
16.0,2384,13.5
8.0,2392,13.0
11.0,2403,13.2
14.0,2417,13.7
10.0,2427,13.7
10.0,2437,13.6
10.0,2447,11.7
14.0,2461,11.4
9.0,2470,11.2
16.0,2486,11.8
14.0,2500,11.6
22.0,2522,13.0
9.0,2531,12.8
13.0,2544,12.7
10.0,2554,12.7
9.0,2563,12.6
12.0,2575,12.8
13.0,2588,12.7
8.0,2596,12.6
10.0,2606,12.0
14.0,2620,12.0
12.0,2632,11.0
16.0,2648,11.7
21.0,2669,12.5
16.0,2685,13.1
14.0,2699,13.6
15.0,2714,13.9
20.0,2734,14.6
15.0,2749,15.3
16.0,2765,15.9
9.0,2774,15.4
11.0,2785,15.3
13.0,2798,15.0
11.0,2809,14.0
12.0,2821,13.6
11.0,2832,13.3
13.0,2845,13.1
10.0,2855,12.1
10.0,2865,11.6
13.0,2878,11.3
12.0,2890,11.6
11.0,2901,11.6
10.0,2911,11.3
11.0,2922,11.3
11.0,2933,11.2
11.0,2944,11.2
11.0,2955,11.0
9.0,2964,10.9
13.0,2977,11.2
11.0,2988,11.0
11.0,2999,10.9
9.0,3008,10.7
11.0,3019,10.8
12.0,3031,10.9
19.0,3050,11.7
9.0,3059,11.5
10.0,3069,11.4
14.0,3083,11.9
12.0,3095,11.8
9.0,3104,11.6
10.0,3114,11.5
21.0,3135,12.7
11.0,3146,12.7
13.0,3159,12.8
11.0,3170,12.0
14.0,3184,12.5
12.0,3196,12.7
11.0,3207,12.4
10.0,3217,12.2
15.0,3232,12.8
10.0,3242,12.8
8.0,3250,11.5
9.0,3259,11.3
12.0,3271,11.2
12.0,3283,11.3
18.0,3301,11.7
18.0,3319,12.3
12.0,3331,12.4
11.0,3342,12.5
8.0,3350,11.8
11.0,3361,11.9
19.0,3380,13.0
12.0,3392,13.3
12.0,3404,13.3
14.0,3418,13.5
9.0,3427,12.6
10.0,3437,11.8
16.0,3453,12.2
10.0,3463,12.1
10.0,3473,12.3
10.0,3483,12.2
9.0,3492,11.2
9.0,3501,10.9
12.0,3513,10.9
13.0,3526,10.8
11.0,3537,11.0
10.0,3547,11.0
9.0,3556,10.3
12.0,3568,10.5
18.0,3586,11.3
12.0,3598,11.5
12.0,3610,11.8
9.0,3619,11.8
14.0,3633,12.0
14.0,3647,12.1
13.0,3660,12.3
10.0,3670,12.3
9.0,3679,12.3
9.0,3688,12.0
9.0,3697,11.1
10.0,3707,10.9
11.0,3718,10.8
10.0,3728,10.9
10.0,3738,10.5
18.0,3756,10.9
10.0,3766,10.6
15.0,3781,11.1
11.0,3792,11.3
12.0,3804,11.6
15.0,3819,12.2
11.0,3830,12.3
12.0,3842,12.4
13.0,3855,12.7
9.0,3864,12.6
10.0,3874,11.8
10.0,3884,11.8
10.0,3894,11.3
10.0,3904,11.2
11.0,3915,11.1
10.0,3925,10.6
11.0,3936,10.6
10.0,3946,10.4
10.0,3956,10.1
9.0,3965,10.1
12.0,3977,10.3
12.0,3989,10.5
10.0,3999,10.5
10.0,4009,10.5
11.0,4020,10.5
9.0,4029,10.4
12.0,4041,10.5
13.0,4054,10.8
11.0,4065,10.9
9.0,4074,10.9
9.0,4083,10.6
10.0,4093,10.4
11.0,4104,10.5
11.0,4115,10.6
10.0,4125,10.5
11.0,4136,10.7
11.0,4147,10.6
9.0,4156,10.2
11.0,4167,10.2
12.0,4179,10.5
9.0,4188,10.5
15.0,4203,11.0
12.0,4215,11.1
9.0,4224,10.9
10.0,4234,10.9
10.0,4244,10.8
12.0,4256,10.9
10.0,4266,11.0
10.0,4276,10.9
8.0,4284,10.5
9.0,4293,10.5
12.0,4305,10.2
10.0,4315,10.0
14.0,4329,10.5
9.0,4338,10.4
9.0,4347,10.3
9.0,4356,10.0
11.0,4367,10.1
14.0,4381,10.5
10.0,4391,10.7
8.0,4399,10.6
10.0,4409,10.4
9.0,4418,10.3
9.0,4427,9.8
13.0,4440,10.2
12.0,4452,10.5
9.0,4461,10.5
11.0,4472,10.5
13.0,4485,10.4
11.0,4496,10.5
11.0,4507,10.8
9.0,4516,10.7
9.0,4525,10.7
15.0,4540,11.3
10.0,4550,11.0
9.0,4559,10.7
10.0,4569,10.8
10.0,4579,10.7
8.0,4587,10.2
11.0,4598,10.2
11.0,4609,10.2
10.0,4619,10.3
11.0,4630,10.5
10.0,4640,10.0
10.0,4650,10.0
14.0,4664,10.5
10.0,4674,10.5
10.0,4684,10.5
10.0,4694,10.7
9.0,4703,10.5
11.0,4714,10.5
9.0,4723,10.4
8.0,4731,10.1
13.0,4744,10.4
13.0,4757,10.7
10.0,4767,10.3
11.0,4778,10.4
10.0,4788,10.4
9.0,4797,10.3
9.0,4806,10.3
11.0,4817,10.3
10.0,4827,10.4
8.0,4835,10.4
10.0,4845,10.1
10.0,4855,9.8
9.0,4864,9.7
10.0,4874,9.6
10.0,4884,9.6
10.0,4894,9.7
10.0,4904,9.8
10.0,4914,9.7
10.0,4924,9.7
13.0,4937,10.2
11.0,4948,10.3
10.0,4958,10.3
12.0,4970,10.6
11.0,4981,10.7
11.0,4992,10.8
9.0,5001,10.7
9.0,5010,10.6
10.0,5020,10.6
10.0,5030,10.6
11.0,5041,10.4
9.0,5050,10.2
10.0,5060,10.2
12.0,5072,10.2
12.0,5084,10.3
12.0,5096,10.4
9.0,5105,10.4
8.0,5113,10.3
9.0,5122,10.2
9.0,5131,10.1
11.0,5142,10.1
9.0,5151,10.1
9.0,5160,10.0
9.0,5169,9.7
9.0,5178,9.4
9.0,5187,9.1
8.0,5195,9.0
11.0,5206,9.3
9.0,5215,9.3
11.0,5226,9.5
15.0,5241,9.9
10.0,5251,10.0
10.0,5261,10.1
9.0,5270,10.1
10.0,5280,10.2
10.0,5290,10.3
9.0,5299,10.4
11.0,5310,10.4
9.0,5319,10.4
10.0,5329,10.3
11.0,5340,9.9
12.0,5352,10.1
9.0,5361,10.0
12.0,5373,10.3
10.0,5383,10.3
10.0,5393,10.3
10.0,5403,10.4
13.0,5416,10.6
12.0,5428,10.9
9.0,5437,10.8
10.0,5447,10.7
10.0,5457,10.5
11.0,5468,10.7
14.0,5482,10.9
9.0,5491,10.8
10.0,5501,10.8
8.0,5509,10.6
9.0,5518,10.2
10.0,5528,10.0
9.0,5537,10.0
9.0,5546,9.9
9.0,5555,9.8
14.0,5569,10.1
9.0,5578,9.6
12.0,5590,9.9
10.0,5600,9.9
12.0,5612,10.3
8.0,5620,10.2
10.0,5630,10.2
13.0,5643,10.6
9.0,5652,10.6
11.0,5663,10.8
11.0,5674,10.5
10.0,5684,10.6
10.0,5694,10.4
11.0,5705,10.5
10.0,5715,10.3
13.0,5728,10.8
9.0,5737,10.7
13.0,5750,10.7
13.0,5763,11.1
10.0,5773,11.0
10.0,5783,10.9
8.0,5791,10.7
11.0,5802,10.8
9.0,5811,10.6
9.0,5820,10.5
11.0,5831,10.3
13.0,5844,10.7
10.0,5854,10.4
11.0,5865,10.2
10.0,5875,10.2
11.0,5886,10.3
10.0,5896,10.5
9.0,5905,10.3
10.0,5915,10.4
12.0,5927,10.7
12.0,5939,10.8
11.0,5950,10.6
12.0,5962,10.8
12.0,5974,10.9
11.0,5985,11.0
11.0,5996,11.0
10.0,6006,11.0
11.0,6017,11.2
10.0,6027,11.2
12.0,6039,11.2
9.0,6048,10.9
14.0,6062,11.2
9.0,6071,10.9
11.0,6082,10.8
12.0,6094,10.9
10.0,6104,10.8
12.0,6116,11.0
14.0,6130,11.3
11.0,6141,11.4
13.0,6154,11.5
13.0,6167,11.9
11.0,6178,11.6
15.0,6193,12.2
11.0,6204,12.2
13.0,6217,12.3
13.0,6230,12.6
12.0,6242,12.6
15.0,6257,12.7
12.0,6269,12.8
11.0,6280,12.6
11.0,6291,12.4
13.0,6304,12.6
17.0,6321,12.8
10.0,6331,12.7
14.0,6345,12.8
14.0,6359,12.9
14.0,6373,13.1
15.0,6388,13.1
14.0,6402,13.3
16.0,6418,13.8
20.0,6438,14.7
25.0,6463,15.9
27.0,6490,16.9
37.0,6527,19.6
38.0,6565,22.0
85.0,6650,29.1
10.0,6660,28.7
10.0,6670,28.2
10.0,6680,27.8
9.0,6689,27.1
9.0,6698,26.0
10.0,6708,24.5
12.0,6720,23.0
14.0,6734,20.7
11.0,6745,18.0
12.0,6757,10.7
9.0,6766,10.6
8.0,6774,10.4
10.0,6784,10.4
9.0,6793,10.4
10.0,6803,10.5
9.0,6812,10.4
8.0,6820,10.0
10.0,6830,9.6
10.0,6840,9.5
10.0,6850,9.3
10.0,6860,9.4
9.0,6869,9.5
9.0,6878,9.4
10.0,6888,9.5
9.0,6897,9.4
15.0,6912,10.0
9.0,6921,10.1
9.0,6930,10.0
10.0,6940,10.0
10.0,6950,10.0
9.0,6959,9.9
13.0,6972,10.3
10.0,6982,10.4
9.0,6991,10.3
10.0,7001,10.4
11.0,7012,10.0
10.0,7022,10.1
9.0,7031,10.1
8.0,7039,9.9
9.0,7048,9.8
10.0,7058,9.9
10.0,7068,9.6
9.0,7077,9.5
8.0,7085,9.4
11.0,7096,9.5
10.0,7106,9.4
9.0,7115,9.3
10.0,7125,9.4
10.0,7135,9.6
9.0,7144,9.6
8.0,7152,9.4
9.0,7161,9.3
9.0,7170,9.3
9.0,7179,9.4
9.0,7188,9.2
10.0,7198,9.2
9.0,7207,9.2
10.0,7217,9.2
10.0,7227,9.2
9.0,7236,9.2
10.0,7246,9.4
9.0,7255,9.4
