Episode_Return,env_step,Episode_Return_smooth
14.0,14,14.0
14.0,28,14.0
14.0,42,14.0
37.0,79,19.75
17.0,96,19.2
25.0,121,20.166666666666668
36.0,157,22.428571428571427
21.0,178,22.25
22.0,200,22.22222222222222
17.0,217,21.7
39.0,256,24.2
32.0,288,26.0
14.0,302,26.0
11.0,313,23.4
17.0,330,23.4
12.0,342,22.1
12.0,354,19.7
19.0,373,19.5
29.0,402,20.2
24.0,426,20.9
19.0,445,18.9
17.0,462,17.4
50.0,512,21.0
16.0,528,21.5
17.0,545,21.5
43.0,588,24.6
18.0,606,25.2
14.0,620,24.7
15.0,635,23.3
16.0,651,22.5
20.0,671,22.6
41.0,712,25.0
34.0,746,23.4
30.0,776,24.8
25.0,801,25.6
43.0,844,25.6
32.0,876,27.0
24.0,900,28.0
30.0,930,29.5
18.0,948,29.7
39.0,987,31.6
56.0,1043,33.1
21.0,1064,31.8
21.0,1085,30.9
23.0,1108,30.7
75.0,1183,33.9
13.0,1196,32.0
26.0,1222,32.2
42.0,1264,33.4
25.0,1289,34.1
10.0,1299,31.2
40.0,1339,29.6
48.0,1387,32.3
62.0,1449,36.4
35.0,1484,37.6
12.0,1496,31.3
14.0,1510,31.4
30.0,1540,31.8
35.0,1575,31.1
27.0,1602,31.3
62.0,1664,36.5
45.0,1709,37.0
95.0,1804,41.7
76.0,1880,43.1
46.0,1926,44.2
13.0,1939,44.3
12.0,1951,44.1
37.0,1988,44.8
33.0,2021,44.6
28.0,2049,44.7
56.0,2105,44.1
18.0,2123,41.4
69.0,2192,38.8
60.0,2252,37.2
105.0,2357,43.1
20.0,2377,43.8
13.0,2390,43.9
45.0,2435,44.7
42.0,2477,45.6
48.0,2525,47.6
14.0,2539,43.4
47.0,2586,46.3
32.0,2618,42.6
89.0,2707,45.5
34.0,2741,38.4
30.0,2771,39.4
13.0,2784,39.4
60.0,2844,40.9
106.0,2950,47.3
113.0,3063,53.8
40.0,3103,56.4
34.0,3137,55.1
79.0,3216,59.8
178.0,3394,68.7
90.0,3484,74.3
44.0,3528,75.7
85.0,3613,82.9
115.0,3728,88.4
242.0,3970,102.0
18.0,3988,92.5
52.0,4040,93.7
94.0,4134,99.7
16.0,4150,93.4
209.0,4359,96.5
86.0,4445,96.1
205.0,4650,112.2
228.0,4878,126.5
140.0,5018,129.0
121.0,5139,116.9
122.0,5261,127.3
19.0,5280,124.0
132.0,5412,127.8
180.0,5592,144.2
41.0,5633,127.4
45.0,5678,123.3
128.0,5806,115.6
173.0,5979,110.1
133.0,6112,109.4
72.0,6184,104.5
168.0,6352,109.1
44.0,6396,111.6
50.0,6446,103.4
183.0,6629,103.7
108.0,6737,110.4
142.0,6879,120.1
138.0,7017,121.1
207.0,7224,124.5
46.0,7270,115.8
175.0,7445,126.1
87.0,7532,118.0
76.0,7608,121.2
196.0,7804,135.8
127.0,7931,130.2
184.0,8115,137.8
181.0,8296,141.7
86.0,8382,136.5
139.0,8521,129.7
55.0,8576,130.6
216.0,8792,134.7
280.0,9072,154.0
241.0,9313,170.5
238.0,9551,174.7
64.0,9615,168.4
12.0,9627,151.2
20.0,9647,135.1
151.0,9798,141.6
137.0,9935,141.4
55.0,9990,141.4
43.0,10033,124.1
160.0,10193,112.1
142.0,10335,102.2
38.0,10373,82.2
105.0,10478,86.3
187.0,10665,103.8
112.0,10777,113.0
136.0,10913,111.5
180.0,11093,115.8
205.0,11298,130.8
177.0,11475,144.2
228.0,11703,151.0
174.0,11877,154.2
218.0,12095,172.2
155.0,12250,177.2
212.0,12462,179.7
166.0,12628,185.1
172.0,12800,188.7
43.0,12843,175.0
215.0,13058,176.0
142.0,13200,172.5
38.0,13238,153.5
147.0,13385,150.8
84.0,13469,137.4
116.0,13585,133.5
31.0,13616,115.4
187.0,13803,117.5
75.0,13878,107.8
143.0,14021,117.8
235.0,14256,119.8
198.0,14454,125.4
153.0,14607,136.9
116.0,14723,133.8
52.0,14775,130.6
77.0,14852,126.7
169.0,15021,140.5
257.0,15278,147.5
181.0,15459,158.1
69.0,15528,150.7
134.0,15662,140.6
150.0,15812,135.8
154.0,15966,135.9
225.0,16191,146.8
153.0,16344,156.9
203.0,16547,169.5
86.0,16633,161.2
87.0,16720,144.2
240.0,16960,150.1
266.0,17226,169.8
189.0,17415,175.3
358.0,17773,196.1
318.0,18091,212.5
55.0,18146,195.5
121.0,18267,192.3
137.0,18404,185.7
346.0,18750,211.7
36.0,18786,206.6
447.0,19233,227.3
490.0,19723,249.7
418.0,20141,272.6
392.0,20533,276.0
47.0,20580,248.9
130.0,20710,256.4
500.0,21210,294.3
323.0,21533,312.9
36.0,21569,281.9
56.0,21625,283.9
279.0,21904,267.1
198.0,22102,237.9
117.0,22219,207.8
82.0,22301,176.8
46.0,22347,176.7
85.0,22432,172.2
284.0,22716,150.6
249.0,22965,143.2
444.0,23409,184.0
371.0,23780,215.5
80.0,23860,195.6
500.0,24360,225.8
335.0,24695,247.6
27.0,24722,242.1
500.0,25222,287.5
500.0,25722,329.0
500.0,26222,350.6
352.0,26574,360.9
297.0,26871,346.2
500.0,27371,359.1
500.0,27871,401.1
500.0,28371,401.1
246.0,28617,392.2
198.0,28815,409.3
125.0,28940,371.8
239.0,29179,345.7
352.0,29531,330.9
248.0,29779,320.5
340.0,30119,324.8
353.0,30472,310.1
457.0,30929,305.8
358.0,31287,291.6
140.0,31427,281.0
128.0,31555,274.0
500.0,32055,311.5
133.0,32188,300.9
321.0,32509,297.8
96.0,32605,282.6
158.0,32763,264.4
259.0,33022,255.0
100.0,33122,219.3
13.0,33135,184.8
442.0,33577,215.0
17.0,33594,203.9
203.0,33797,174.2
58.0,33855,166.7
66.0,33921,141.2
412.0,34333,172.8
124.0,34457,169.4
40.0,34497,147.5
141.0,34638,151.6
35.0,34673,153.8
107.0,34780,120.3
289.0,35069,147.5
337.0,35406,160.9
343.0,35749,189.4
235.0,35984,206.3
216.0,36200,186.7
191.0,36391,193.4
44.0,36435,193.8
197.0,36632,199.4
33.0,36665,199.2
92.0,36757,197.7
179.0,36936,186.7
192.0,37128,172.2
119.0,37247,149.8
75.0,37322,133.8
156.0,37478,127.8
360.0,37838,144.7
159.0,37997,156.2
199.0,38196,156.4
34.0,38230,156.5
165.0,38395,163.8
251.0,38646,171.0
144.0,38790,166.2
118.0,38908,166.1
412.0,39320,199.8
446.0,39766,228.8
500.0,40266,242.8
111.0,40377,238.0
242.0,40619,242.3
395.0,41014,278.4
458.0,41472,307.7
500.0,41972,332.6
336.0,42308,351.8
321.0,42629,372.1
371.0,43000,368.0
381.0,43381,361.5
225.0,43606,334.0
421.0,44027,365.0
500.0,44527,390.8
500.0,45027,401.3
211.0,45238,376.6
337.0,45575,360.3
244.0,45819,351.1
33.0,45852,322.3
129.0,45981,298.1
135.0,46116,273.5
419.0,46535,292.9
500.0,47035,300.8
399.0,47434,290.7
18.0,47452,242.5
267.0,47719,248.1
223.0,47942,236.7
500.0,48442,262.3
354.0,48796,294.4
329.0,49125,314.4
500.0,49625,350.9
500.0,50125,359.0
500.0,50625,359.0
500.0,51125,369.1
500.0,51625,417.3
500.0,52125,440.6
500.0,52625,468.3
500.0,53125,468.3
14.0,53139,434.3
88.0,53227,410.2
500.0,53727,410.2
500.0,54227,410.2
500.0,54727,410.2
500.0,55227,410.2
500.0,55727,410.2
500.0,56227,410.2
500.0,56727,410.2
268.0,56995,387.0
482.0,57477,433.8
500.0,57977,475.0
500.0,58477,475.0
500.0,58977,475.0
192.0,59169,444.2
78.0,59247,402.0
46.0,59293,356.6
206.0,59499,327.2
500.0,59999,327.2
500.0,60499,350.4
500.0,60999,352.2
500.0,61499,352.2
500.0,61999,352.2
385.0,62384,340.7
500.0,62884,371.5
58.0,62942,369.5
58.0,63000,370.7
47.0,63047,354.8
39.0,63086,308.7
14.0,63100,260.1
9.0,63109,211.0
23.0,63132,163.3
11.0,63143,114.4
19.0,63162,77.8
18.0,63180,29.6
18.0,63198,25.6
417.0,63615,61.5
470.0,64085,103.8
500.0,64585,149.9
143.0,64728,162.8
500.0,65228,211.9
77.0,65305,217.3
161.0,65466,232.3
284.0,65750,258.8
151.0,65901,272.1
149.0,66050,285.2
150.0,66200,258.5
158.0,66358,227.3
192.0,66550,196.5
116.0,66666,193.8
208.0,66874,164.6
159.0,67033,172.8
204.0,67237,177.1
130.0,67367,161.7
190.0,67557,165.6
500.0,68057,200.7
146.0,68203,200.3
500.0,68703,234.5
500.0,69203,265.3
500.0,69703,303.7
256.0,69959,308.5
500.0,70459,342.6
96.0,70555,331.8
17.0,70572,320.5
209.0,70781,322.4
12.0,70793,273.6
12.0,70805,260.2
500.0,71305,260.2
208.0,71513,231.0
500.0,72013,231.0
500.0,72513,255.4
500.0,73013,255.4
500.0,73513,295.8
500.0,74013,344.1
500.0,74513,373.2
429.0,74942,414.9
10.0,74952,414.7
