Episode_Return,env_step,Episode_Return_smooth
20.0,20,20.0
11.0,31,15.5
13.0,44,14.666666666666666
17.0,61,15.25
60.0,121,24.2
11.0,132,22.0
51.0,183,26.142857142857142
17.0,200,25.0
14.0,214,23.77777777777778
21.0,235,23.5
20.0,255,23.5
28.0,283,25.2
22.0,305,26.1
12.0,317,25.6
32.0,349,22.8
37.0,386,25.4
18.0,404,22.1
22.0,426,22.6
13.0,439,22.5
25.0,464,22.9
19.0,483,22.8
11.0,494,21.1
37.0,531,22.6
40.0,571,25.4
25.0,596,24.7
29.0,625,23.9
53.0,678,27.4
27.0,705,27.9
28.0,733,29.4
11.0,744,28.0
37.0,781,29.8
10.0,791,29.7
16.0,807,27.6
11.0,818,24.7
48.0,866,27.0
18.0,884,25.9
14.0,898,22.0
14.0,912,20.7
28.0,940,20.7
22.0,962,21.8
23.0,985,20.4
26.0,1011,22.0
27.0,1038,23.1
26.0,1064,24.6
44.0,1108,24.2
16.0,1124,24.0
20.0,1144,24.6
19.0,1163,25.1
22.0,1185,24.5
16.0,1201,23.9
16.0,1217,23.2
17.0,1234,22.3
31.0,1265,22.7
13.0,1278,21.4
19.0,1297,18.9
86.0,1383,25.9
18.0,1401,25.7
17.0,1418,25.5
24.0,1442,25.7
45.0,1487,28.6
30.0,1517,30.0
33.0,1550,31.6
67.0,1617,35.2
17.0,1634,35.6
23.0,1657,36.0
20.0,1677,29.4
18.0,1695,29.4
18.0,1713,29.5
31.0,1744,30.2
16.0,1760,27.3
26.0,1786,26.9
26.0,1812,26.2
23.0,1835,21.8
22.0,1857,22.3
11.0,1868,21.1
24.0,1892,21.5
13.0,1905,21.0
41.0,1946,23.3
84.0,2030,28.6
34.0,2064,30.4
10.0,2074,28.8
11.0,2085,27.3
20.0,2105,27.0
12.0,2117,26.0
24.0,2141,27.3
56.0,2197,30.5
14.0,2211,30.6
14.0,2225,27.9
18.0,2243,21.3
18.0,2261,19.7
17.0,2278,20.4
98.0,2376,29.1
34.0,2410,30.5
101.0,2511,39.4
35.0,2546,40.5
30.0,2576,37.9
64.0,2640,42.9
39.0,2679,45.4
36.0,2715,47.2
99.0,2814,55.3
121.0,2935,65.7
20.0,2955,57.9
15.0,2970,56.0
19.0,2989,47.8
28.0,3017,47.1
22.0,3039,46.3
32.0,3071,43.1
24.0,3095,41.6
16.0,3111,39.6
17.0,3128,31.4
12.0,3140,20.5
16.0,3156,20.1
16.0,3172,20.2
11.0,3183,19.4
18.0,3201,18.4
33.0,3234,19.5
23.0,3257,18.6
30.0,3287,19.2
16.0,3303,19.2
21.0,3324,19.6
29.0,3353,21.3
19.0,3372,21.6
40.0,3412,24.0
27.0,3439,25.6
27.0,3466,26.5
60.0,3526,29.2
26.0,3552,29.5
18.0,3570,28.3
26.0,3596,29.3
52.0,3648,32.4
33.0,3681,32.8
57.0,3738,36.6
63.0,3801,38.9
22.0,3823,38.4
61.0,3884,41.8
30.0,3914,38.8
15.0,3929,37.7
23.0,3952,38.2
30.0,3982,38.6
25.0,4007,35.9
12.0,4019,33.8
21.0,4040,30.2
32.0,4072,27.1
97.0,4169,34.6
42.0,4211,32.7
29.0,4240,32.6
88.0,4328,39.9
28.0,4356,40.4
38.0,4394,41.2
62.0,4456,44.9
17.0,4473,45.4
32.0,4505,46.5
29.0,4534,46.2
22.0,4556,38.7
42.0,4598,38.7
51.0,4649,40.9
26.0,4675,34.7
25.0,4700,34.4
20.0,4720,32.6
46.0,4766,31.0
34.0,4800,32.7
52.0,4852,34.7
115.0,4967,43.3
11.0,4978,42.2
11.0,4989,39.1
12.0,5001,35.2
9.0,5010,33.5
23.0,5033,33.3
56.0,5089,36.9
28.0,5117,35.1
