Episode_Return,Episode_Return_smooth,env_step
18.2,18.2,18.0
13.6,15.9,34.0
19.4,17.06666666666667,54.0
20.4,17.9,70.0
25.4,19.4,81.0
17.8,19.133333333333333,97.0
25.4,20.02857142857143,107.0
20.0,20.025,140.0
19.8,20.0,187.0
15.8,19.580000000000002,201.0
19.8,19.740000000000002,230.0
23.6,20.740000000000002,247.0
25.0,21.3,269.0
13.0,20.560000000000002,281.0
29.6,20.98,293.0
29.0,22.1,310.0
19.8,21.54,321.0
25.4,22.080000000000002,347.0
16.4,21.740000000000002,365.0
16.8,21.84,375.0
20.4,21.9,388.0
13.4,20.880000000000003,399.0
18.6,20.240000000000002,411.0
29.2,21.86,437.0
20.8,20.98,451.0
16.4,19.720000000000002,466.0
28.4,20.58,479.0
23.0,20.339999999999996,496.0
29.6,21.660000000000004,536.0
18.8,21.86,562.0
22.4,22.06,574.0
18.0,22.520000000000003,592.0
18.2,22.479999999999997,616.0
28.0,22.360000000000003,663.0
22.6,22.54,675.0
15.8,22.479999999999997,690.0
33.2,22.96,727.0
27.2,23.380000000000003,755.0
24.8,22.900000000000002,776.0
32.2,24.240000000000002,791.0
17.6,23.76,803.0
23.4,24.3,836.0
23.6,24.840000000000003,849.0
19.6,24.000000000000004,869.0
25.4,24.28,885.0
18.4,24.540000000000003,906.0
21.4,23.360000000000003,924.0
35.8,24.22,953.0
22.6,24.0,969.0
17.4,22.520000000000003,980.0
30.2,23.78,999.0
24.8,23.92,1046.0
21.8,23.740000000000002,1058.0
14.0,23.18,1069.0
29.0,23.54,1079.0
37.0,25.4,1093.0
19.0,25.16,1118.0
23.8,23.96,1160.0
30.2,24.720000000000002,1190.0
31.4,26.119999999999997,1206.0
22.0,25.3,1237.0
20.2,24.839999999999996,1257.0
40.8,26.74,1292.0
35.8,28.920000000000005,1362.0
30.0,29.02,1380.0
16.4,26.96,1392.0
20.8,27.139999999999997,1429.0
22.6,27.02,1439.0
41.6,28.160000000000004,1453.0
16.8,26.7,1469.0
21.6,26.660000000000004,1502.0
19.8,26.619999999999997,1514.0
26.0,25.140000000000004,1532.0
35.6,25.119999999999997,1559.0
20.2,24.14,1586.0
27.4,25.240000000000002,1596.0
30.6,26.22,1608.0
22.4,26.2,1626.0
37.0,25.74,1640.0
25.8,26.640000000000004,1657.0
15.4,26.02,1673.0
39.2,27.96,1688.0
22.8,27.639999999999997,1705.0
38.6,27.940000000000005,1730.0
27.0,28.619999999999997,1754.0
30.6,28.940000000000005,1768.0
19.8,27.860000000000003,1792.0
36.4,29.26,1809.0
41.8,29.74,1894.0
32.0,30.360000000000003,1915.0
46.6,33.480000000000004,1933.0
59.2,35.480000000000004,1961.0
48.8,38.08,2064.0
44.8,38.7,2096.0
27.8,38.779999999999994,2145.0
23.4,38.06,2160.0
55.2,41.6,2186.0
32.4,41.2,2201.0
31.2,40.14,2223.0
72.2,44.160000000000004,2306.0
50.8,44.58,2354.0
25.0,41.160000000000004,2367.0
22.2,38.5,2392.0
33.0,37.32,2427.0
35.2,38.06,2465.0
40.2,39.739999999999995,2483.0
39.8,38.2,2532.0
27.0,37.660000000000004,2552.0
42.0,38.739999999999995,2566.0
23.8,33.9,2588.0
33.8,32.2,2610.0
43.4,34.04,2730.0
50.4,36.86,2832.0
43.0,37.86,2850.0
58.6,40.2,2949.0
42.2,40.4,3006.0
41.8,40.6,3117.0
26.8,40.58,3146.0
47.2,41.1,3177.0
43.6,43.08,3232.0
71.2,46.82,3273.0
49.6,47.44,3307.0
41.6,46.56,3370.0
56.2,47.879999999999995,3451.0
25.4,44.559999999999995,3467.0
61.8,46.519999999999996,3486.0
47.0,47.040000000000006,3497.0
19.8,46.339999999999996,3511.0
37.6,45.38,3532.0
48.8,45.9,3567.0
34.8,42.260000000000005,3599.0
31.8,40.48,3633.0
31.2,39.44,3655.0
27.8,36.6,3673.0
38.6,37.92,3702.0
24.2,34.160000000000004,3746.0
21.8,31.639999999999997,3787.0
24.8,32.14,3814.0
49.8,33.36,3878.0
29.0,31.380000000000003,3935.0
20.8,29.98,3980.0
49.8,31.78000000000001,4064.0
31.2,31.78,4082.0
52.0,34.2,4098.0
26.6,33.00000000000001,4119.0
61.0,36.68,4135.0
95.4,44.040000000000006,4269.0
38.4,45.4,4306.0
55.0,45.919999999999995,4337.0
35.8,46.6,4374.0
41.0,48.62,4400.0
41.4,47.78,4438.0
40.2,48.68,4473.0
82.8,51.760000000000005,4568.0
53.8,54.48,4725.0
47.2,53.1,4801.0
41.2,47.67999999999999,4821.0
49.6,48.8,4905.0
35.0,46.800000000000004,4984.0
52.8,48.5,5000.0
25.8,46.98,5028.0
62.6,49.1,5054.0
75.6,52.64,5081.0
49.2,49.28,5096.0
87.4,52.64,5114.0
69.2,54.839999999999996,5127.0
18.0,52.52,5140.0
31.6,50.720000000000006,5152.0
48.4,52.06,5173.0
104.2,57.2,5245.0
67.4,61.35999999999999,5297.0
73.2,62.42,5420.0
21.4,57.0,5439.0
40.8,56.15999999999999,5484.0
102.8,57.7,5605.0
112.8,62.06,5658.0
55.6,65.82000000000001,5683.0
32.0,65.86,5709.0
67.0,67.72,5729.0
80.2,65.32000000000001,5748.0
140.2,72.6,5762.0
81.4,73.41999999999999,5777.0
28.8,74.16,5798.0
87.4,78.82000000000001,5816.0
131.4,81.67999999999999,5960.0
100.6,80.46,6072.0
63.8,81.28,6184.0
68.6,84.94000000000001,6310.0
62.2,84.46000000000001,6338.0
85.8,85.02000000000001,6355.0
39.4,74.94000000000001,6372.0
46.4,71.44,6396.0
19.4,70.49999999999999,6412.0
22.0,63.96,6435.0
34.8,54.3,6459.0
56.2,49.86,6609.0
117.4,55.220000000000006,6672.0
86.4,57.0,6686.0
84.4,59.220000000000006,6704.0
77.8,58.42,6836.0
77.2,62.2,6904.0
55.0,63.05999999999999,6930.0
59.0,67.02,6945.0
17.6,66.58,6957.0
20.4,65.14,6968.0
65.4,66.06,6978.0
63.2,60.64,6993.0
150.4,67.03999999999999,7009.0
128.0,71.4,7145.0
172.4,80.85999999999999,7277.0
160.2,89.16,7329.0
119.4,95.6,7357.0
126.0,102.3,7543.0
114.0,111.94000000000001,7654.0
114.8,121.38,7779.0
124.4,127.28000000000002,7831.0
169.2,137.88000000000002,7975.0
62.6,129.1,8175.0
193.2,135.62,8616.0
202.8,138.66,9116.0
184.0,141.04000000000002,9616.0
170.0,146.1,10116.0
106.8,144.18,10129.0
74.2,140.2,10145.0
86.2,137.34,10156.0
58.6,130.76000000000002,10167.0
90.0,122.83999999999999,10183.0
72.8,123.86000000000001,10204.0
173.8,121.92,10704.0
204.4,122.08000000000001,11204.0
137.0,117.38,11678.0
96.0,109.98000000000002,11819.0
240.6,123.35999999999999,12187.0
188.2,134.76000000000002,12360.0
163.6,142.50000000000003,12690.0
108.4,147.48000000000002,13109.0
78.8,146.35999999999999,13255.0
157.4,154.82,13755.0
85.4,145.98,13825.0
100.6,135.59999999999997,14078.0
177.6,139.66,14475.0
184.4,148.5,14783.0
83.6,132.79999999999998,15051.0
111.4,125.12,15336.0
178.0,126.56000000000002,15836.0
152.0,130.92000000000002,16043.0
27.2,125.76000000000002,16053.0
73.8,117.4,16062.0
102.6,119.12,16071.0
18.0,110.86000000000001,16081.0
14.2,94.52000000000001,16090.0
14.0,77.48,16101.0
28.0,71.91999999999999,16111.0
85.2,69.3,16123.0
94.4,60.94,16132.0
134.4,59.18000000000001,16141.0
63.6,62.82000000000001,16150.0
67.0,62.14,16164.0
80.2,59.9,16176.0
85.8,66.67999999999999,16193.0
94.0,74.66,16209.0
121.4,85.39999999999999,16238.0
126.0,95.2,16398.0
85.8,95.26,16412.0
125.4,98.35999999999999,16533.0
120.0,96.91999999999999,16569.0
134.8,104.04,16700.0
135.0,110.84,16843.0
132.0,116.01999999999998,16970.0
81.8,115.62,17079.0
107.0,116.92,17209.0
176.8,122.46,17350.0
58.8,115.74000000000001,17477.0
64.2,113.58,17602.0
64.0,107.44000000000001,17724.0
99.6,105.4,17853.0
134.4,105.35999999999999,17978.0
121.0,103.96,18080.0
116.0,102.35999999999999,18166.0
98.4,104.02000000000001,18236.0
151.6,108.47999999999999,18276.0
85.6,99.36,18292.0
143.4,107.82000000000001,18367.0
95.6,110.96,18435.0
112.0,115.75999999999999,18509.0
123.0,118.1,18570.0
79.0,112.55999999999999,18664.0
182.2,118.67999999999999,18720.0
61.4,113.21999999999998,18732.0
141.6,117.54,18872.0
161.2,118.5,18922.0
99.6,119.9,18936.0
124.4,118.0,18946.0
166.0,125.04,18958.0
140.2,127.85999999999999,18967.0
116.8,127.24000000000001,18979.0
109.8,130.32,18989.0
114.6,123.55999999999999,19001.0
119.8,129.4,19015.0
114.8,126.72,19024.0
196.2,130.21999999999997,19036.0
248.4,145.1,19047.0
70.4,139.7,19057.0
55.0,128.6,19068.0
56.6,120.24000000000001,19081.0
75.8,116.14000000000001,19093.0
161.2,121.28,19108.0
91.8,119.0,19122.0
64.4,113.46,19142.0
109.4,112.91999999999999,19397.0
108.4,104.14000000000001,19408.0
37.2,83.02000000000001,19421.0
109.4,86.91999999999999,19431.0
108.2,92.24,19442.0
110.0,97.58,19454.0
154.4,105.44000000000001,19721.0
85.6,97.88000000000001,20086.0
107.0,99.39999999999999,20398.0
194.4,112.4,20721.0
250.6,126.52000000000001,21057.0
213.4,137.02,21383.0
174.2,150.72,21704.0
213.6,161.14,22056.0
246.0,174.92000000000002,22359.0
245.4,188.45999999999998,22683.0
176.6,190.68,22948.0
82.2,190.33999999999997,23310.0
62.8,185.92000000000002,23580.0
65.4,173.01999999999998,23826.0
104.8,158.44,24097.0
137.2,150.82,24512.0
132.4,146.64,24983.0
96.0,134.88000000000002,25275.0
105.8,120.86000000000001,25630.0
68.6,103.17999999999999,25797.0
112.4,96.76,26295.0
61.4,94.67999999999999,26552.0
11.0,89.50000000000001,26566.0
10.2,83.97999999999999,26576.0
11.4,74.64,26586.0
17.6,62.68000000000001,26595.0
68.2,56.260000000000005,26604.0
33.8,50.04,26614.0
30.2,42.480000000000004,26625.0
28.2,38.44,26634.0
49.2,32.12,26647.0
123.2,38.3,26658.0
129.2,50.12,26670.0
77.4,56.839999999999996,26683.0
124.8,68.17999999999998,26693.0
68.0,73.22,26703.0
82.6,74.66,26719.0
135.2,84.8,26765.0
130.8,94.86,26775.0
131.8,105.22,26785.0
133.6,113.66000000000001,26796.0
80.0,109.33999999999999,26808.0
167.6,113.18000000000002,26818.0
121.8,117.61999999999998,26829.0
192.2,124.35999999999999,26837.0
182.6,135.82,26850.0
114.2,138.98,26875.0
114.2,136.88000000000002,26886.0
176.6,141.45999999999998,26895.0
182.6,146.54,26905.0
148.4,148.01999999999998,26917.0
224.2,162.44,26932.0
208.4,166.52,26945.0
271.4,181.48000000000002,27116.0
223.4,184.59999999999997,27418.0
224.0,188.74,27634.0
266.8,204.0,27775.0
228.2,215.4,27913.0
112.2,208.95999999999998,28081.0
167.0,207.4,28200.0
113.6,203.92000000000002,28326.0
57.4,187.24,28415.0
55.6,171.96,28499.0
53.0,150.12,28573.0
67.8,134.56,28707.0
117.2,123.88,28786.0
143.0,111.5,28880.0
110.4,99.72,28991.0
152.4,103.74000000000001,29074.0
122.8,99.32000000000001,29171.0
82.0,96.16,29260.0
188.8,109.3,29329.0
151.2,118.85999999999999,29395.0
94.8,123.04,29464.0
91.6,125.42,29523.0
127.2,126.42,29611.0
122.8,124.4,29684.0
53.8,118.74000000000001,29756.0
49.0,108.4,29816.0
42.2,100.34,29839.0
33.8,95.52000000000001,29850.0
33.8,80.02000000000001,29862.0
46.8,69.58,29930.0
46.6,64.76,30018.0
42.0,59.8,30090.0
45.0,51.58,30174.0
42.2,43.519999999999996,30242.0
103.6,48.49999999999999,30320.0
65.2,50.120000000000005,30385.0
74.8,53.379999999999995,30459.0
75.4,57.54,30531.0
91.0,63.26000000000001,30604.0
77.2,66.3,30660.0
93.8,71.02000000000001,30723.0
94.0,76.22,30787.0
80.6,79.78,30840.0
168.4,92.4,30902.0
183.4,100.38,30956.0
186.4,112.5,31007.0
183.0,123.32000000000001,31059.0
159.0,131.68,31112.0
159.8,138.56,31158.0
180.0,148.84,31205.0
148.2,154.28000000000003,31245.0
246.2,169.49999999999997,31304.0
244.8,185.92000000000002,31360.0
180.0,187.07999999999998,31408.0
139.4,182.68,31452.0
173.0,181.34,31506.0
207.4,183.78,31551.0
192.4,187.12,31601.0
106.4,181.78000000000003,31660.0
60.0,169.78,31711.0
105.6,165.52,31770.0
122.0,153.10000000000002,31841.0
153.6,143.98000000000002,31914.0
76.6,133.64000000000001,31971.0
100.0,129.7,32042.0
172.8,129.68,32106.0
125.8,121.51999999999998,32230.0
131.4,115.42,32302.0
139.4,118.72,32364.0
62.4,118.96,32416.0
69.0,115.3,32470.0
74.8,110.58000000000001,32525.0
73.0,102.52000000000001,32579.0
69.8,101.84,32633.0
64.4,98.28,32690.0
66.8,87.67999999999999,32749.0
64.4,81.54,32807.0
46.4,73.04,32852.0
51.2,64.22,32900.0
62.6,64.24,32947.0
48.4,62.17999999999999,32999.0
46.8,59.379999999999995,33013.0
38.4,55.92,33023.0
45.0,53.44,33034.0
83.4,55.339999999999996,33043.0
64.4,55.1,33053.0
63.0,54.959999999999994,33065.0
75.6,57.879999999999995,33074.0
109.0,63.660000000000004,33083.0
56.6,63.06,33093.0
94.8,67.7,33102.0
119.4,74.96,33112.0
133.6,84.47999999999999,33122.0
43.8,84.35999999999999,33132.0
53.8,81.4,33143.0
61.8,81.14,33152.0
42.0,79.03999999999999,33162.0
42.2,75.7,33172.0
39.4,68.74,33183.0
38.6,66.94000000000001,33195.0
88.4,66.3,33208.0
34.0,57.760000000000005,33223.0
60.6,50.459999999999994,33325.0
67.0,52.78000000000001,33442.0
96.8,57.08,33708.0
59.2,56.82000000000001,33832.0
103.6,62.980000000000004,33972.0
151.2,73.88,34196.0
67.0,76.64,34480.0
138.6,86.64,34639.0
134.2,91.22,34777.0
195.8,107.4,35277.0
115.8,112.91999999999999,35546.0
84.8,114.7,35667.0
86.8,113.7,35782.0
108.6,118.63999999999999,36003.0
84.0,116.67999999999998,36134.0
205.4,122.1,36634.0
152.4,130.64,36988.0
215.8,138.35999999999999,37488.0
251.2,150.06,37988.0
148.4,145.32,38488.0
152.2,148.95999999999998,38895.0
80.0,148.47999999999996,39044.0
168.2,156.62,39544.0
128.2,158.57999999999998,39969.0
103.8,160.56,40204.0
145.8,154.6,40401.0
82.0,147.56,40694.0
170.4,143.02,40860.0
203.8,138.28000000000003,41360.0
103.4,133.78,41439.0
168.0,135.36,41581.0
108.4,138.2,41748.0
143.2,135.7,41826.0
173.4,140.21999999999997,41912.0
140.2,143.85999999999999,42006.0
93.4,138.62,42159.0
142.4,144.66000000000003,42659.0
59.8,133.6,42671.0
69.6,120.18000000000002,42680.0
81.0,117.94000000000001,42692.0
108.8,112.02000000000001,42703.0
152.6,116.44000000000001,42713.0
84.0,110.51999999999998,42723.0
76.8,100.86,42733.0
94.6,96.3,42748.0
86.6,95.61999999999999,42758.0
92.6,90.64,42771.0
65.6,91.22,42782.0
65.6,90.82000000000001,42798.0
78.0,90.52,42812.0
179.0,97.53999999999999,43216.0
155.2,97.8,43326.0
101.4,99.53999999999999,43413.0
119.4,103.8,43514.0
160.6,110.4,43619.0
90.6,110.8,43715.0
115.8,113.11999999999998,43923.0
130.8,119.64000000000001,44030.0
94.0,122.47999999999999,44198.0
83.8,123.06000000000002,44317.0
102.6,115.41999999999999,44446.0
193.0,119.2,44557.0
194.0,128.46,44672.0
194.8,136.0,44790.0
185.2,138.45999999999998,44918.0
187.0,148.1,45053.0
191.6,155.67999999999998,45160.0
193.2,161.92000000000002,45274.0
195.8,172.1,45372.0
192.2,182.94,45472.0
251.8,197.86,45594.0
97.2,188.28000000000003,45762.0
169.4,185.82,45912.0
287.8,195.12,46049.0
167.4,193.34,46206.0
203.8,195.01999999999998,46322.0
149.8,190.84,46341.0
106.4,182.16000000000003,46353.0
176.2,180.2,46363.0
152.0,176.18,46372.0
104.6,161.45999999999998,46382.0
66.2,158.35999999999999,46392.0
90.8,150.5,46401.0
81.8,129.9,46413.0
67.0,119.85999999999999,46424.0
65.2,106.0,46433.0
83.0,99.32000000000001,46443.0
131.6,101.84,46453.0
