Episode_Return,env_step,Episode_Return_smooth
14.0,14,14.0
25.0,39,19.5
33.0,72,24.0
21.0,93,23.25
15.0,108,21.6
9.0,117,19.5
37.0,154,22.0
13.0,167,20.875
14.0,181,20.11111111111111
23.0,204,20.4
19.0,223,20.9
18.0,241,20.2
20.0,261,18.9
19.0,280,18.7
17.0,297,18.9
11.0,308,19.1
22.0,330,17.6
17.0,347,18.0
15.0,362,18.1
30.0,392,18.8
12.0,404,18.1
35.0,439,19.8
11.0,450,18.9
27.0,477,19.7
25.0,502,20.5
13.0,515,20.7
12.0,527,19.7
28.0,555,20.8
15.0,570,20.8
21.0,591,19.9
22.0,613,20.9
15.0,628,18.9
16.0,644,19.4
18.0,662,18.5
23.0,685,18.3
58.0,743,22.8
17.0,760,23.3
20.0,780,22.5
25.0,805,23.5
25.0,830,23.9
25.0,855,24.2
18.0,873,24.5
40.0,913,26.9
44.0,957,29.5
19.0,976,29.1
45.0,1021,27.8
14.0,1035,27.5
30.0,1065,28.5
33.0,1098,29.3
51.0,1149,31.9
26.0,1175,32.0
20.0,1195,32.2
26.0,1221,30.8
34.0,1255,29.8
22.0,1277,30.1
30.0,1307,28.6
115.0,1422,38.7
41.0,1463,39.8
39.0,1502,40.4
33.0,1535,38.6
10.0,1545,37.0
21.0,1566,37.1
29.0,1595,37.4
25.0,1620,36.5
47.0,1667,39.0
56.0,1723,41.6
39.0,1762,34.0
18.0,1780,31.7
28.0,1808,30.6
21.0,1829,29.4
17.0,1846,30.1
39.0,1885,31.9
72.0,1957,36.2
60.0,2017,39.7
65.0,2082,41.5
64.0,2146,42.3
23.0,2169,40.7
42.0,2211,43.1
33.0,2244,43.6
36.0,2280,45.1
54.0,2334,48.8
38.0,2372,48.7
113.0,2485,52.8
55.0,2540,52.3
34.0,2574,49.2
12.0,2586,44.0
153.0,2739,57.0
48.0,2787,57.6
147.0,2934,69.0
39.0,2973,69.3
83.0,3056,72.2
22.0,3078,70.6
124.0,3202,71.7
56.0,3258,71.8
64.0,3322,74.8
24.0,3346,76.0
119.0,3465,72.6
59.0,3524,73.7
102.0,3626,69.2
43.0,3669,69.6
93.0,3762,70.6
156.0,3918,84.0
76.0,3994,79.2
25.0,4019,76.1
32.0,4051,72.9
162.0,4213,86.7
45.0,4258,79.3
40.0,4298,77.4
58.0,4356,73.0
79.0,4435,76.6
89.0,4524,76.2
101.0,4625,70.7
40.0,4665,67.1
9.0,4674,65.5
18.0,4692,64.1
21.0,4713,50.0
61.0,4774,51.6
55.0,4829,53.1
64.0,4893,53.7
49.0,4942,50.7
120.0,5062,53.8
35.0,5097,47.2
53.0,5150,48.5
49.0,5199,52.5
178.0,5377,68.5
117.0,5494,78.1
83.0,5577,80.3
97.0,5674,84.5
154.0,5828,93.5
16.0,5844,90.2
12.0,5856,79.4
19.0,5875,77.8
67.0,5942,79.2
79.0,6021,82.2
76.0,6097,72.0
77.0,6174,68.0
144.0,6318,74.1
46.0,6364,69.0
16.0,6380,55.2
207.0,6587,74.3
43.0,6630,77.4
167.0,6797,92.2
32.0,6829,88.7
44.0,6873,85.2
34.0,6907,81.0
14.0,6921,74.7
101.0,7022,70.4
159.0,7181,81.7
85.0,7266,88.6
113.0,7379,79.2
168.0,7547,91.7
20.0,7567,77.0
47.0,7614,78.5
59.0,7673,80.0
82.0,7755,84.8
11.0,7766,84.5
51.0,7817,79.5
28.0,7845,66.4
129.0,7974,70.8
80.0,8054,67.5
69.0,8123,57.6
155.0,8278,71.1
21.0,8299,68.5
52.0,8351,67.8
172.0,8523,76.8
67.0,8590,82.4
119.0,8709,89.2
14.0,8723,87.8
71.0,8794,82.0
38.0,8832,77.8
116.0,8948,82.5
62.0,9010,73.2
53.0,9063,76.4
134.0,9197,84.6
67.0,9264,74.1
115.0,9379,78.9
39.0,9418,70.9
108.0,9526,80.3
139.0,9665,87.1
167.0,9832,100.0
120.0,9952,100.4
133.0,10085,107.5
136.0,10221,115.8
66.0,10287,109.0
150.0,10437,117.3
25.0,10462,108.3
30.0,10492,107.4
31.0,10523,99.7
37.0,10560,89.5
114.0,10674,84.2
126.0,10800,84.8
57.0,10857,77.2
99.0,10956,73.5
36.0,10992,70.5
44.0,11036,59.9
16.0,11052,59.0
43.0,11095,60.3
70.0,11165,64.2
48.0,11213,65.3
163.0,11376,70.2
112.0,11488,68.8
308.0,11796,93.9
106.0,11902,94.6
160.0,12062,107.0
138.0,12200,116.4
129.0,12329,127.7
135.0,12464,136.9
73.0,12537,137.2
134.0,12671,145.8
108.0,12779,140.3
137.0,12916,142.8
50.0,12966,117.0
15.0,12981,107.9
163.0,13144,108.2
132.0,13276,107.6
133.0,13409,108.0
151.0,13560,109.6
145.0,13705,116.8
136.0,13841,117.0
66.0,13907,112.8
185.0,14092,117.6
107.0,14199,123.3
145.0,14344,136.3
140.0,14484,134.0
13.0,14497,122.1
21.0,14518,110.9
120.0,14638,107.8
117.0,14755,105.0
130.0,14885,104.4
84.0,14969,106.2
108.0,15077,98.5
140.0,15217,101.8
15.0,15232,88.8
110.0,15342,85.8
200.0,15542,104.5
142.0,15684,116.6
21.0,15705,106.7
227.0,15932,117.7
109.0,16041,115.6
98.0,16139,117.0
115.0,16254,117.7
198.0,16452,123.5
139.0,16591,135.9
108.0,16699,135.7
131.0,16830,128.8
15.0,16845,116.1
116.0,16961,125.6
107.0,17068,113.6
17.0,17085,104.4
39.0,17124,98.5
55.0,17179,92.5
171.0,17350,89.8
99.0,17449,85.8
118.0,17567,86.8
123.0,17690,86.0
105.0,17795,95.0
126.0,17921,96.0
144.0,18065,99.7
141.0,18206,112.1
128.0,18334,121.0
153.0,18487,130.8
14.0,18501,115.1
137.0,18638,118.9
118.0,18756,118.9
125.0,18881,119.1
123.0,19004,120.9
123.0,19127,120.6
37.0,19164,109.9
136.0,19300,109.4
125.0,19425,109.1
139.0,19564,107.7
37.0,19601,110.0
154.0,19755,111.7
142.0,19897,114.1
128.0,20025,114.4
139.0,20164,116.0
131.0,20295,116.8
155.0,20450,128.6
127.0,20577,127.7
128.0,20705,128.0
31.0,20736,117.2
40.0,20776,117.5
132.0,20908,115.3
124.0,21032,113.5
121.0,21153,112.8
150.0,21303,113.9
45.0,21348,105.3
147.0,21495,104.5
144.0,21639,106.2
137.0,21776,107.1
175.0,21951,121.5
149.0,22100,132.4
42.0,22142,123.4
162.0,22304,127.2
145.0,22449,129.6
77.0,22526,122.3
141.0,22667,131.9
133.0,22800,130.5
51.0,22851,121.2
157.0,23008,123.2
32.0,23040,108.9
152.0,23192,109.2
150.0,23342,120.0
151.0,23493,118.9
151.0,23644,119.5
141.0,23785,125.9
151.0,23936,126.9
148.0,24084,128.4
170.0,24254,140.3
102.0,24356,134.8
156.0,24512,147.2
188.0,24700,150.8
164.0,24864,152.2
11.0,24875,138.2
14.0,24889,124.5
23.0,24912,112.7
20.0,24932,99.6
145.0,25077,99.3
35.0,25112,85.8
157.0,25269,91.3
149.0,25418,90.6
154.0,25572,87.2
309.0,25881,101.7
133.0,26014,113.9
144.0,26158,126.9
140.0,26298,138.6
133.0,26431,149.9
140.0,26571,149.4
37.0,26608,149.6
144.0,26752,148.3
28.0,26780,136.2
12.0,26792,122.0
165.0,26957,107.6
12.0,26969,95.5
13.0,26982,82.4
161.0,27143,84.5
144.0,27287,85.6
91.0,27378,80.7
159.0,27537,92.9
