Episode_Return,Episode_Return_smooth,env_step
27.6,27.6,43.0
18.6,23.1,60.0
25.6,23.93333333333333,87.0
21.6,23.35,106.0
14.8,21.639999999999997,120.0
15.2,20.566666666666666,135.0
34.4,22.542857142857144,180.0
20.8,22.325,198.0
15.0,21.511111111111113,207.0
21.8,21.54,234.0
19.8,20.76,261.0
18.4,20.740000000000002,275.0
15.6,19.740000000000002,288.0
27.4,20.32,302.0
36.4,22.48,365.0
19.0,22.860000000000003,391.0
41.2,23.54,449.0
37.0,25.16,515.0
15.4,25.2,535.0
21.6,25.18,559.0
13.2,24.52,572.0
20.4,24.72,587.0
21.8,25.340000000000003,612.0
26.8,25.28,624.0
34.6,25.1,666.0
19.8,25.18,694.0
16.0,22.66,715.0
23.2,21.279999999999998,735.0
30.8,22.82,775.0
27.6,23.419999999999998,812.0
31.8,25.28,837.0
19.4,25.18,863.0
23.6,25.360000000000003,898.0
31.4,25.820000000000004,911.0
26.0,24.96,919.0
26.8,25.660000000000004,941.0
20.8,26.139999999999997,967.0
24.2,26.24,979.0
32.4,26.4,1000.0
44.8,28.119999999999997,1034.0
19.8,26.919999999999998,1054.0
20.6,27.04,1067.0
27.6,27.439999999999998,1088.0
42.6,28.560000000000002,1150.0
33.2,29.28,1172.0
28.2,29.419999999999998,1183.0
42.8,31.619999999999997,1227.0
24.4,31.639999999999997,1239.0
58.8,34.28000000000001,1342.0
62.8,36.08,1443.0
26.2,36.720000000000006,1471.0
29.2,37.580000000000005,1513.0
21.8,37.0,1537.0
44.4,37.18,1587.0
39.4,37.8,1631.0
38.4,38.82,1664.0
41.2,38.660000000000004,1683.0
34.0,39.620000000000005,1724.0
29.8,36.72,1765.0
32.6,33.7,1812.0
24.0,33.480000000000004,1846.0
34.0,33.959999999999994,1895.0
18.6,33.64,1910.0
30.0,32.2,1942.0
36.8,31.939999999999998,1959.0
40.6,32.160000000000004,1986.0
32.2,31.26,2009.0
38.4,31.7,2053.0
24.0,31.119999999999997,2073.0
23.0,30.160000000000004,2096.0
33.8,31.139999999999997,2137.0
31.0,30.839999999999996,2156.0
67.0,35.68000000000001,2214.0
49.0,37.580000000000005,2264.0
52.0,39.1,2330.0
41.6,39.2,2346.0
42.6,40.239999999999995,2369.0
46.6,41.059999999999995,2417.0
35.0,42.16,2447.0
30.6,42.92,2484.0
61.2,45.660000000000004,2533.0
25.8,45.14,2551.0
58.6,44.3,2601.0
64.6,45.86,2665.0
39.6,44.61999999999999,2692.0
15.4,42.0,2708.0
54.8,43.22,2753.0
65.6,45.12,2780.0
83.6,49.980000000000004,2886.0
36.8,50.6,2904.0
79.0,52.379999999999995,3014.0
42.2,54.02,3068.0
74.8,55.64,3129.0
39.6,53.14,3147.0
47.6,53.94,3201.0
42.8,56.67999999999999,3226.0
68.6,58.05999999999999,3286.0
88.6,60.36,3380.0
45.2,56.52,3398.0
42.8,57.120000000000005,3453.0
53.0,54.52,3492.0
85.6,58.86,3563.0
53.0,56.67999999999999,3576.0
49.4,57.65999999999999,3612.0
77.2,60.620000000000005,3685.0
54.6,61.8,3701.0
68.2,61.760000000000005,3746.0
60.0,58.9,3765.0
51.6,59.540000000000006,3792.0
87.0,63.959999999999994,3940.0
57.2,64.38,3997.0
108.0,66.62,4136.0
91.2,70.44000000000001,4206.0
67.6,72.26,4259.0
43.6,68.9,4282.0
53.6,68.8,4299.0
100.4,72.02000000000001,4444.0
62.0,72.22,4522.0
48.2,71.88000000000001,4561.0
91.2,72.3,4669.0
98.2,76.4,4724.0
73.4,72.94,4784.0
71.8,71.0,4836.0
74.4,71.67999999999999,4955.0
117.6,79.08,5142.0
144.8,88.2,5292.0
112.2,89.38,5437.0
87.8,91.96000000000001,5525.0
97.6,96.9,5549.0
116.2,99.4,5740.0
58.8,95.46,5859.0
66.0,94.72,5905.0
75.8,95.12,5934.0
48.8,92.56,5959.0
59.6,86.75999999999999,6002.0
95.8,81.86,6151.0
111.8,81.82000000000001,6328.0
99.6,83.0,6469.0
100.0,83.24,6574.0
100.4,81.66,6601.0
85.2,84.3,6688.0
99.8,87.68,6729.0
28.2,82.91999999999999,6746.0
111.0,89.14,6926.0
51.6,88.33999999999999,6946.0
95.8,88.34,7139.0
57.2,82.88,7151.0
121.6,85.08000000000001,7298.0
130.6,88.14000000000001,7434.0
119.8,90.08000000000001,7562.0
61.0,87.66,7576.0
128.8,90.56,7744.0
127.6,100.5,7918.0
51.6,94.55999999999999,7932.0
162.2,105.62,8239.0
67.8,102.82000000000001,8345.0
116.8,108.78,8483.0
53.6,101.97999999999999,8520.0
95.2,98.44,8659.0
72.8,93.74,8705.0
84.6,96.1,8801.0
149.4,98.16,8922.0
79.4,93.34,9021.0
168.8,105.05999999999999,9142.0
161.4,104.97999999999999,9267.0
102.6,108.46000000000001,9293.0
107.2,107.5,9410.0
134.2,115.55999999999999,9567.0
49.2,110.96,9609.0
163.6,120.03999999999999,9721.0
58.8,117.46,9776.0
85.6,111.08,9821.0
94.4,112.58,9864.0
118.0,107.5,9982.0
60.0,97.35999999999999,9995.0
97.8,96.88,10005.0
106.4,96.8,10058.0
103.4,93.72,10202.0
142.2,103.02000000000001,10377.0
119.2,98.58,10447.0
62.4,98.93999999999998,10475.0
134.2,103.8,10593.0
135.6,107.92,10694.0
117.6,107.88,10803.0
142.4,116.11999999999998,10925.0
74.8,113.81999999999998,11071.0
135.8,116.76000000000002,11116.0
153.0,121.72,11228.0
189.0,126.4,11420.0
100.4,124.52000000000001,11536.0
65.2,124.8,11582.0
199.4,131.32,11722.0
111.6,128.92000000000002,11868.0
67.8,123.94000000000001,11880.0
82.6,117.96,11901.0
48.2,115.3,11935.0
76.4,109.35999999999999,12051.0
101.4,104.2,12192.0
214.8,106.78,12403.0
112.4,107.98000000000002,12467.0
